표제어	품사	세종태그	어깨번호	뜻풀이	지역
구죽신	[명사][방언]	NNG	00_00_00	구두	13, 14, 16, 18, 19
굴게쉐미	[명사][방언]	NNG	00_00_00	구레나룻	13, 14, 19
굴똑	[명사][방언]	NNG	00_00_00	굴뚝	9, 12, 13, 14, 19
굴톡	[명사][방언]	NNG	00_00_00	굴뚝	14, 19
궁두이	[명사][방언]	NNG	00_00_00	궁둥이	7, 8, 9, 11, 12, 13, 14, 18, 19
궁디	[명사][방언]	NNG	02_00_00	궁둥이	6, 7, 8, 9, 14, 15, 16, 18, 19, 20
궝이	[명사][방언]	NNG	01_00_00	구유	13, 14, 17, 19
궤이	[명사][방언]	NNG	01_00_00	구유	13, 14, 17, 19
귀미티	[명사][방언]	NNG	00_00_00	귀밑	11, 12, 13, 14, 15, 16, 18, 19, 20
귀바꾸	[명사][방언]	NNG	00_00_00	귓바퀴	13, 14, 19
귀바쿠	[명사][방언]	NNG	00_00_00	귓바퀴	4, 5, 13, 14, 18, 19
귀쒸시개	[명사][방언]	NNG	00_00_00	귀이개	13, 14, 19
귀씨시개	[명사][방언]	NNG	00_00_00	귀이개	13, 14, 19
