표제어	품사	세종태그	어깨번호	뜻풀이	지역
까치불	[명사][방언]	NNG	00_00_00	반딧불	15, 16
깍데기	[명사][방언]	NNG	02_00_00	껍데기	6, 7, 8, 9, 12, 13, 14, 15, 16, 18, 19, 20
깍디기	[명사][방언]	NNG	01_00_00	깍두기	4, 5, 7, 9, 11, 12, 16, 18
깍장이	[명사][방언]	NNG	01_00_00	구두쇠	15, 16
깍장이	[명사][방언]	NNG	02_00_00	깍쟁이	15, 16
깍재	[명사][방언]	NNG	01_00_00	갈퀴	15, 16
깐지럽다	[형용사][방언]	VA	00_00_00	간지럽다	16
깔	[명사][방언]	NNG	03_00_00	꼴	8, 9, 11, 12, 15, 16
깔그랑머리	[명사][방언]	NNG	00_00_00	고수머리	15, 16
깔까래	[명사][방언]	NNG	00_00_00	삿자리	16
깔매기	[명사][방언]	NNG	00_00_00	갈매기	6, 7, 16, 18
